id,slug,working_title,one_line_hook,region,category,search_demand,story_hook,source_availability,evergreen,total_score,notes
014,volvo-geely,Volvo Cars: Sold to China for Less Than Ford Paid for a Logo,"Ford bought Volvo for $6.5bn, sold it to a Chinese upstart for $1.8bn — and Geely turned it into a bigger success.",Sweden/China,turnaround,4,4,5,5,18,"Li Shufu, Håkan Samuelsson, Polestar SPAC flop, 2021 IPO. Add EU tariff dimension. DI/GP archives."
015,rovio-angry-birds,Rovio: Angry Birds and the Curse of the One-Hit Wonder,"Fifty-one failed games, one global phenomenon, a theme park, a movie — then a sale to Sega for a fraction of the hype.",Finland,collapse,4,4,5,5,18,"Peter Vesterbacka era, 2017 IPO, Sega acquisition 2023 (€706m). Fun contrast with Supercell ep."
016,equinor-oil-fund,Equinor: How Norway Turned Oil Into a $2 Trillion Fund (and Kept Drilling),"Statoil, the oil fund, the rebrand to Equinor — and the awkward question of a green nation's fossil fortune.",Norway,rise,4,4,5,5,18,"US shale losses ($21bn write-down, DN investigation 2020), rebrand 2018, oil fund governance. Strong evergreen explainer."
017,swedbank-baltics,Swedbank: The Other Baltic Laundromat,"After Danske, SVT proved Swedbank had moved billions of suspect Baltic money — the CEO was sacked, convicted, then cleared by the Supreme Court.",Sweden/Baltics,fraud,4,4,5,4,17,"Natural sequel to Danske ep. Clifford Chance report 2020, SEK 4bn FI fine, Bonnesen convicted 2024 (appeal), acquitted by Supreme Court 2026 — verify final status."
018,orsted-offshore-wind,Ørsted: From Oil Giant to Green Champion to Rights Issue,DONG Energy reinvented itself as the world's offshore-wind leader — then US politics and inflation forced a DKK 60bn emergency raise.,Denmark,turnaround,4,4,5,4,17,"Two-act structure: 2008-2020 transformation, 2023-25 write-downs & Trump stop-work orders. Ongoing; verify latest."
019,fortum-uniper,Fortum and Uniper: How Finland Bought a German Gas Bomb,Finland's state utility spent €7bn buying a company built on Russian gas — then handed it to Germany for €500m.,Finland/Germany,collapse,3,5,5,4,17,"IEEFA post-mortem, HS/YLE archives, Bundestag debates. Great 'predictable and avoidable' angle."
020,supercell,Supercell: The Finnish Studio That Kills Its Own Games,"Fewer than 500 people, four hits and $10bn from Tencent — built on a culture of celebrating cancelled games with champagne.",Finland,rise,4,4,4,5,17,"Ilkka Paananen interviews, Tencent 2016 deal, tax angle (Finland's biggest taxpayers), Clash of Clans/Brawl Stars data. HS/Talouselämä."
021,h-and-m,H&M: How Fast Fashion's Pioneer Lost the Plot,"The Persson family built the world's second-largest fashion retailer — then Shein, Zara and Xinjiang cotton caught up.",Sweden,turnaround,4,4,5,4,17,"Burning unsold clothes (2017), China boycott 2021, CEO churn, 2024 leadership change. DI, Breakit."
022,saab-gripen,Saab: How a Small Country Builds Its Own Fighter Jet,"Sweden lost its car brand but kept its arms maker — Gripen, submarines and a defence boom after NATO accession.",Sweden,rise,4,4,5,4,17,Include Saab Automobile bankruptcy 2011 (GM/Spyker/NEVS) as prologue. Wallenberg ownership. Fits 2025-26 defence-spend zeitgeist.
023,norwegian-air,Norwegian Air: The Low-Cost Airline That Tried to Fly Across the Atlantic,Bjørn Kjos bet a small Nordic carrier on 787s and long-haul — Boeing groundings and Covid nearly killed it.,Norway,turnaround,3,4,5,4,16,"Dreamliner engine issues, IAG bid 2018, 2020-21 restructuring, long-haul exit. DN/E24 sources."
024,sas-bankruptcy,SAS: Scandinavia's Flag Carrier and Its Chapter 11,"Three governments, one airline, decades of losses and a New York bankruptcy that ended with Air France-KLM in charge.",Sweden/Denmark/Norway,collapse,3,4,5,4,16,2022 pilot strike triggered Chapter 11; Sweden exit as owner; 2024 emergence. Compare with Norwegian ep.
025,nokian-tyres-russia,Nokian Tyres: The Finnish Company That Was 80% Russian,"Its most profitable factory was near St Petersburg — when Russia invaded Ukraine, Nokian had to sell it for €400m and start over.",Finland/Russia,collapse,3,4,5,4,16,"Tatneft sale 2023, Romania greenfield plant, 116m loss; broader 'Finnish firms in Russia' angle. HS/Kauppalehti."
026,vestas-wind,Vestas: The Danish Company That Invented the Wind Industry,From blacksmiths in Jutland to the world's largest turbine maker — via a near-death crisis in 2012 and brutal Chinese competition.,Denmark,turnaround,3,4,5,4,16,"Ditlev Engel era, 2012 restructuring, Anders Runevad turnaround; Chinese price war 2023-25. Pair with Ørsted."
027,nordea-panama,Nordea: The Nordic Bank Named in the Panama Papers,The region's largest bank helped clients set up offshore shells — Denmark's prosecutors want a record DKK 6bn.,Finland/Denmark/Sweden,scandal,3,4,4,4,15,NYDFS $35m 2024; Danish criminal case ongoing (verify). Also HQ move Stockholm-Helsinki over resolution fees. Pair with Danske/Swedbank as trilogy.
028,wolt-doordash,Wolt: The €7 Billion Helsinki Delivery App,Five years from a Helsinki coffee-ordering app to DoorDash's biggest ever acquisition — and the courier-employment fights that followed.,Finland,rise,3,4,4,4,15,"Miki Kuusi, 2021 €7bn deal, EU platform-work directive; Kuusi now runs DoorDash international + Deliveroo. Talouselämä/HS."
029,finnair-russia,Finnair: The Airline That Lost Its Shortcut,"Built on being Europe's fastest route to Asia via Russian airspace, Finnair lost its business model overnight in February 2022.",Finland,turnaround,3,4,4,4,15,"Airspace closure impact, 2023 rights issue, Qatar wet-lease, pivot to India/Doha; earlier Aurinkomatkat/strike issues. Pair with SAS/Norwegian."
030,oatly,Oatly: The Oat-Milk IPO That Curdled,"A Swedish oat drink became a $10bn Nasdaq stock, was attacked by a short seller, and lost 95% of its value.",Sweden,collapse,3,4,4,4,15,"Toni Petersson, Blackstone stake backlash, Spruce Point 2021, Chinese factory write-offs, ongoing survival. DI/Breakit."
031,kone-elevators,Kone: The Finnish Family That Owns the World's Lifts,Antti Herlin's family firm quietly became one of the world's most profitable industrial companies — with China as its biggest bet.,Finland,rise,2,3,4,5,14,"Herlin family, Pekka Herlin biography (Uusi kirja), Thyssenkrupp Elevator bid 2020, China property downturn. Lower search demand; strong for core audience."
032,neste-renewable-diesel,Neste: The Oil Refiner That Bet Everything on Used Cooking Oil,Finland's state refiner became the world's renewable-diesel leader — then the market it created turned on it.,Finland,turnaround,2,4,4,4,14,"2024-25 profit collapse, share fall ~70%, CEO change, US layoffs; palm-oil controversy. HS/Kauppalehti."
033,wartsila-marine,"Wärtsilä: Ships, Engines and a Rescue Wrapped in Nuclear Ambition",A 190-year-old Finnish engine maker keeps reinventing itself — now betting on methanol ships and grid batteries.,Finland,turnaround,2,3,4,4,13,"Includes 1989 Wärtsilä Marine bankruptcy (Finland's biggest at the time), Russia exit 2022, energy storage pivot. Niche; pair with Kone."
